,trial,choice,result,game_state,scheduled_probability,rt_central,rt_choice,time_start,time_end,subject,date,med_program_file,session
167,168,melioration,not_rewarded,0,0.3333,1.14,1.4,2661.86,2674.4,P327,06/06/17,harvard_game_pigeons,s04
168,169,melioration,rewarded,0,0.3333,5.39,2.07,2676.4,2696.86,P327,06/06/17,harvard_game_pigeons,s04
169,170,melioration,not_rewarded,0,0.3333,1.05,0.78,2698.86,2710.69,P327,06/06/17,harvard_game_pigeons,s04
170,171,melioration,not_rewarded,0,0.3333,0.81,0.57,2712.69,2724.07,P327,06/06/17,harvard_game_pigeons,s04
171,172,melioration,rewarded,0,0.3333,0.95,2.21,2726.07,2742.23,P327,06/06/17,harvard_game_pigeons,s04
172,173,melioration,not_rewarded,0,0.3333,1.78,0.71,2744.23,2756.72,P327,06/06/17,harvard_game_pigeons,s04
173,174,melioration,rewarded,0,0.3333,0.62,0.96,2758.72,2773.3,P327,06/06/17,harvard_game_pigeons,s04
174,175,melioration,rewarded,0,0.3333,1.1,1.27,2775.3,2790.67,P327,06/06/17,harvard_game_pigeons,s04
175,176,melioration,not_rewarded,0,0.3333,1.09,0.64,2792.67,2804.4,P327,06/06/17,harvard_game_pigeons,s04
176,177,melioration,rewarded,0,0.3333,2.66,0.83,2806.4,2822.89,P327,06/06/17,harvard_game_pigeons,s04
177,178,melioration,not_rewarded,0,0.3333,1.38,1.19,2824.89,2837.46,P327,06/06/17,harvard_game_pigeons,s04
178,179,melioration,rewarded,0,0.3333,0.69,1.07,2839.46,2854.22,P327,06/06/17,harvard_game_pigeons,s04
179,180,melioration,rewarded,0,0.3333,0.9,1.42,2856.22,2871.54,P327,06/06/17,harvard_game_pigeons,s04
180,181,melioration,not_rewarded,0,0.3333,0.59,1.05,2873.54,2885.18,P327,06/06/17,harvard_game_pigeons,s04
181,182,melioration,not_rewarded,0,0.3333,1.44,0.74,2887.18,2899.36,P327,06/06/17,harvard_game_pigeons,s04
182,183,melioration,not_rewarded,0,0.3333,0.69,1.59,2901.36,2913.64,P327,06/06/17,harvard_game_pigeons,s04
183,184,melioration,not_rewarded,0,0.3333,1.21,1.34,2915.64,2928.19,P327,06/06/17,harvard_game_pigeons,s04
184,185,melioration,not_rewarded,0,0.3333,3.62,1.15,2930.19,2944.96,P327,06/06/17,harvard_game_pigeons,s04
